ID,logFC,P.Value
g185,0.6850494016,0.0027616686
g186,0.804372056,0.0027637303
g187,1.2053333354,0.002829707
g188,-1.1533149052,0.0028319667
g189,0.8434170181,0.0028153277
g190,2.1472993905,0.0025995818
g191,0.8238830652,0.0028204171
g192,-0.7663143576,0.0027310724
g193,0.8058996345,0.0028347807
g194,-1.1258175063,0.0029382863
g195,0.8686616861,0.0029708483
g196,1.1573533402,0.0026451081
g197,-3.8903958239,0.0029983708
g198,0.4974202961,0.0029627316
g199,-0.685737062,0.0030163411
g200,0.6376224913,0.0029558074
g201,1.4375990774,0.0028954288
g202,-1.2779523093,0.0028472476
g203,0.5902143755,0.0029923186
g204,0.9498966463,0.0031019463
g205,0.7725112454,0.0031290613
g206,0.8360900008,0.0031306982
g207,1.6362056293,0.0031804367
g208,-0.7410809556,0.003054034
g209,0.6976402184,0.0031914476
g210,-0.5679254427,0.0031946846
g211,1.0358432371,0.0032545612
g212,-1.1566191324,0.003006689
g213,0.7949361259,0.0032605298
g214,-0.8146614566,0.0032637005
g215,-0.9868822148,0.0032227322
g216,-1.2568329881,0.0027278756
g217,1.985792466,0.0032517613
g218,-1.3802060043,0.0032979194
g219,1.2252864646,0.0031962061
g220,1.198470333,0.0033243398
g221,0.7784302906,0.0033774831
g222,0.6648464661,0.003288255
g223,0.7457383844,0.0032926243
g224,-1.1190570884,0.0031423399
g225,-1.6516314408,0.002949101
g226,1.0116912471,0.0034371342
g227,0.7120656998,0.0034155992
g228,0.9660629106,0.0034473034
g229,0.7377824175,0.0034826742
g230,1.7697713832,0.0030737692
g231,1.5786417238,0.00342418
g232,0.6370856397,0.0034419894
g233,0.6545060406,0.0034584464
g234,0.730198381,0.0034081118
g235,0.9558716611,0.0035385959
g236,2.4667288144,0.003529525
g237,0.6911017222,0.003443838
g238,0.7542974268,0.00359981
g239,1.6589863899,0.0035719915
g240,1.2009573838,0.0036080921
g241,0.9530004684,0.0034999171
g242,-0.5771786138,0.0036380632
g243,-0.776850256,0.0036676461
g244,-0.9247281503,0.003733149
g245,-0.9736424299,0.0037827082
g246,2.0859464494,0.0038024513
g247,0.5413916641,0.0036760538
g248,0.6124346376,0.0036769164
g249,1.3662680855,0.0038349662
g250,1.3038117493,0.0032778851
g251,-0.8063115687,0.0039438283
g252,0.6942545384,0.0037932349
g253,-0.7876253196,0.0039550231
g254,0.7012934319,0.003830707
g255,-0.9778378718,0.0035889386
g256,0.8479629333,0.0039958751
g257,-0.8641168246,0.0040617163
g258,-0.7247070867,0.0041248774
g259,-0.9741700362,0.0040284383
g260,1.0243121601,0.0038246656
g261,-1.0067293916,0.0041203847
g262,-0.9244778043,0.0041970907
g263,0.9453143107,0.0041852371
g264,-0.8961989023,0.004257642
g265,-0.798219721,0.0041464009
g266,1.2691978166,0.0042977918
g267,-0.5592305095,0.004279339
g268,-0.9387096621,0.004157508
g269,0.6010949877,0.0043765557
g270,0.8074870237,0.0042529621
g271,-0.7566775587,0.0043799346
g272,0.7560318476,0.0044143512
g273,2.3257499107,0.0041964512
g274,-0.8974781663,0.0043818859
g275,-1.1153363001,0.0042683819
g276,0.8289841375,0.0043801047
g277,-0.5627548852,0.0043912149
g278,0.6255912419,0.0043392659
g279,-0.9361467425,0.0045558008
g280,0.8079379628,0.0045731302
g281,-0.6690333429,0.004596285
g282,-0.6484672607,0.004574672
g283,0.9143581118,0.0044106066
g284,0.7462364222,0.0044999694
g285,0.6729042362,0.0044471529
g286,-0.9838698549,0.0046851589
g287,1.0655445762,0.0045565544
g288,1.1117188311,0.0043970405
g289,-0.9485107589,0.0046049192
g290,-0.7824883603,0.0046207464
g291,-0.7151242027,0.0048284226
g292,0.588623436,0.0047835479
g293,-0.7303814985,0.0048738249
g294,-1.1163799407,0.0047121548
g295,-0.9961101505,0.0048937879
g296,1.4177807675,0.0048952149
g297,1.4172925502,0.004957996
g298,0.5993987614,0.0047311004
g299,1.164177979,0.0047812399
g300,-1.0118433025,0.0044307898
g301,0.5799674567,0.0048627965
g302,1.2075979512,0.004943673
g303,0.8958337368,0.0049542558
g304,-0.8818427277,0.0050418867
g305,-0.8434889467,0.0049584046
g306,-0.596892003,0.004835627
g307,-2.5202922739,0.0049581617
g308,0.4781585731,0.0048776154
g309,-1.0298536583,0.0050765049
g310,0.5012546653,0.0049334624
g311,-1.1045265286,0.0049727787
g312,-0.7846806745,0.0050456215
g313,2.2340122596,0.0050456895
g314,0.6618471777,0.0052175528
g315,-0.843321604,0.0050393142
g316,-1.0970983523,0.005254032
g317,-1.0270187226,0.0048478076
g318,-1.0616353978,0.0052641695
g319,0.7412140596,0.0050748052
g320,-1.0946294861,0.0052687738
g321,-1.4871389292,0.0051210156
g322,-1.4487929204,0.0052457069
g323,-1.2958212462,0.0050087645
g324,-2.3410997986,0.0053878381
g325,-0.9584606347,0.0049180596
g326,1.4586919891,0.0052927265
g327,0.5103338435,0.0051988661
g328,0.7800793939,0.0051382671
g329,-1.047157386,0.0052174045
g330,0.6899999758,0.0054472335
g331,0.8059313668,0.0052016795
g332,-1.195580113,0.0052546876
g333,1.2088186073,0.0055201476
g334,0.913630263,0.0053971493
g335,0.7888003932,0.0053190279
g336,-0.8916668072,0.005475439
g337,-1.3244363044,0.0051414994
g338,-0.6611638662,0.005639995
g339,-1.2839124833,0.0056490826
g340,-1.0330434312,0.0054208209
g341,0.7161748956,0.005500689
g342,1.4968039861,0.005745832
g343,-1.295843004,0.0056376424
g344,-0.6256435696,0.0054998854
g345,0.9797790635,0.0056526245
g346,0.7622179358,0.0058613005
g347,-0.789338041,0.0058232148
g348,0.6760930861,0.0055190436
g349,0.8639446628,0.0055467466
g350,-1.1019652457,0.0056242571
g351,-1.0176808036,0.0059013889
g352,-1.0795395703,0.0058991038
g353,-1.0244342531,0.0059655968
g354,0.7022871392,0.0056688692
g355,0.5033173186,0.0056823246
g356,0.8964721651,0.0056857978
g357,1.1838791528,0.0057305804
g358,0.6716904244,0.0060476376
g359,-1.0053503099,0.0057744059
g360,-0.8275193698,0.0061252395
g361,1.1959808114,0.0061168804
g362,0.5087384575,0.0057782859
g363,0.6201687033,0.0062545777
g364,-0.8283397554,0.0061961853
g365,0.5640594371,0.0059334013
g366,-0.8703639574,0.0060790654
g367,-0.6991578649,0.0062500577
g368,-1.2972671494,0.0063226288
g369,-1.041437061,0.006073914
g370,-1.289061611,0.0061365877
g371,0.7040078047,0.0063962555
g372,0.7853661811,0.0060119269
g373,-0.7074987456,0.0063846366
g374,0.6880769505,0.0061551351
g375,-0.6399564943,0.0063006568
g376,0.7996458182,0.006141684
g377,0.5687124159,0.0061566126
g378,-1.1783096842,0.0063372854
g379,-0.5407780629,0.0064030877
g380,0.6497250684,0.0062197022
g381,-1.0476625976,0.006308602
g382,-0.8783886573,0.0066789025
g383,1.2945082035,0.0064527806
g384,-1.3226394086,0.0065331371
g385,-0.4934465158,0.006353278
g386,0.48315773,0.0063649024
g387,-0.681170558,0.0068503288
g388,1.0324340782,0.0067900359
g389,-0.5513150046,0.0066028132
g390,0.7513484725,0.0066328929
g391,1.5607334073,0.006541162
g392,0.6170449335,0.0066982058
g393,1.1193018626,0.0070093243
g394,1.5984628467,0.0068667615
g395,-1.6490820417,0.0070147969
g396,-0.8807776538,0.0068777886
g397,0.595427304,0.0066180878
g398,1.1700098949,0.00652107
g399,-2.180848628,0.0070195653
g400,0.6614326681,0.0066703225
g401,-0.8957380607,0.0068119532
g402,1.0975500894,0.0070997005
g403,1.3175356212,0.0068671222
g404,0.9656828866,0.00663603
g405,-0.591200776,0.0070649136
g406,0.9924914884,0.0071221005
g407,-1.4741380123,0.0072338375
g408,-1.2609507557,0.0069060056
g409,-0.9043105536,0.0072996283
g410,1.3452174144,0.0069186135
g411,0.6318753494,0.0069059174
g412,-1.14921694,0.0071385557
g413,-1.0748449346,0.0069385261
g414,1.1797247141,0.0073757755
g415,0.4831345538,0.0069482478
g416,0.8084010287,0.0074707319
g417,0.5707325561,0.0069296578
g418,1.0790895584,0.0070776528
g419,-1.4852932591,0.007447734
g420,0.9792148836,0.0069493683
g421,0.6539545659,0.0071042953
g422,-1.1524770749,0.0073718249
g423,0.6070159834,0.0071703366
g424,-0.8776428269,0.0075912018
