ID,logFC,P.Value
g2192,-1.751824358,0.0604901916
g2193,0.7942314142,0.0739988684
g2194,0.3816011129,0.0620552056
g2195,0.8124056423,0.0695970726
g2196,-1.6200114602,0.0645510311
g2197,-0.7653751573,0.075511058
g2198,-0.4196325279,0.0641613763
g2199,-0.4934403664,0.0725504402
g2200,0.672403187,0.0870112854
g2201,-0.846247044,0.0674383541
g2202,0.3686764739,0.0601006376
g2203,0.4056770188,0.0674631168
g2204,-0.95392661,0.0739023947
g2205,-0.5688398495,0.0588494208
g2206,-0.5748632322,0.0860297855
g2207,-0.6589901976,0.0715626083
g2208,-1.5909225943,0.0668371482
g2209,-0.6366170617,0.0686559669
g2210,-0.3959277396,0.0700130967
g2211,-1.0729696047,0.0712647426
g2212,1.0331180284,0.0799696053
g2213,-0.4451258116,0.0762825465
g2214,-0.7403391896,0.069424015
g2215,0.3918985983,0.0622609919
g2216,0.6559066654,0.0752424436
g2217,0.7450627186,0.0585609502
g2218,-0.3159216531,0.0601687579
g2219,0.3591729202,0.0586600093
g2220,-0.4977537063,0.0638486114
g2221,-0.5645751776,0.0835400401
g2222,0.7846735425,0.0875761626
g2223,0.696160602,0.0764662963
g2224,0.8945409892,0.0644094048
g2225,-0.7028962894,0.0668739094
g2226,-0.6050642145,0.0785001829
g2227,-0.458509765,0.0634353229
g2228,0.7622946829,0.0884075551
g2229,0.4237761163,0.0682643822
g2230,-0.4001173537,0.0751813461
g2231,-0.5735849685,0.0840206106
g2232,-0.8332602895,0.0774202521
g2233,1.2990498055,0.0629137803
g2234,-0.7310509328,0.059926056
g2235,-0.7773016096,0.0806097036
g2236,0.3775092178,0.0624897565
g2237,0.9884896162,0.0602190109
g2238,-0.8927510647,0.0824094398
g2239,0.4652403812,0.0752354148
g2240,1.3581845217,0.059586275
g2241,-0.6949647898,0.0823556546
g2242,-0.8823858038,0.0623319243
g2243,0.4884383026,0.0621588234
g2244,0.6682314497,0.0868896282
g2245,-0.4765233659,0.0780216616
g2246,-0.573579433,0.0883008386
g2247,-0.6215452512,0.0825309804
g2248,0.4871271302,0.0803143314
g2249,0.4292408752,0.059891544
g2250,-0.7952047028,0.0808939348
g2251,-0.8831029435,0.0746027107
g2252,-0.5423636736,0.0879881845
g2253,-0.5139443623,0.0741491095
g2254,0.383867124,0.0763846818
g2255,0.5656894263,0.0667123672
g2256,1.148181649,0.0789376035
g2257,0.6291794266,0.0651677647
g2258,0.4661585486,0.0789380899
g2259,-0.3451711414,0.0603584889
g2260,-0.3956611113,0.0671392133
g2261,-0.4448861387,0.0676232066
g2262,-0.4146660883,0.0604993525
g2263,-1.3216317228,0.0794742849
g2264,0.6128867406,0.0901208456
g2265,0.4543872071,0.0602193371
g2266,0.4190680215,0.0657288977
g2267,-0.8094017742,0.0614280447
g2268,0.4456845745,0.0632623436
g2269,-0.721782479,0.0854627912
g2270,0.5816963214,0.0636201267
g2271,-0.7294331155,0.0781990723
g2272,-0.6370364547,0.080836027
g2273,-0.5641992866,0.0789810293
g2274,-0.9712082324,0.0834975359
g2275,0.4110970646,0.0604819892
g2276,0.5010022783,0.0604976942
g2277,0.3648960264,0.0616975592
g2278,-0.3787701588,0.0612859689
g2279,0.6153643341,0.0624180532
g2280,-0.6319224021,0.0706193288
g2281,-0.4358422315,0.0652403028
g2282,1.5955401637,0.0766698741
g2283,-0.6392250575,0.0773596478
g2284,-1.0501203807,0.0644286103
g2285,-0.5274933112,0.0811377882
g2286,-0.5729372331,0.0801804339
g2287,-0.4164540949,0.0631144481
g2288,-1.2872097792,0.0709390068
g2289,0.8669224532,0.0703939376
g2290,0.649178655,0.0794513526
g2291,0.609114352,0.0793184593
g2292,0.6653040097,0.0912279449
g2293,-0.6111612832,0.0823863766
g2294,0.3198139035,0.0625643044
g2295,0.5134295976,0.0758849347
g2296,-0.5778412164,0.0673767881
g2297,0.7058650157,0.0656098733
g2298,-0.7184519596,0.0895883144
g2299,-0.3959321974,0.0640364706
g2300,-0.6613051457,0.0625944449
g2301,-1.1571224598,0.0825807741
g2302,-1.8746133078,0.0643633875
g2303,0.4701696146,0.0718027294
g2304,0.4869497576,0.0672989388
g2305,-0.524968019,0.070256871
g2306,-0.5674573362,0.0630234791
g2307,0.7936993503,0.0805328615
g2308,-0.6436684088,0.0927854802
g2309,-0.5861034032,0.0720874974
g2310,-0.4031987858,0.0624402608
g2311,-0.555279313,0.0627766309
g2312,0.4813640748,0.0657327208
g2313,-0.4865142172,0.0665240365
g2314,-0.5116488052,0.0673940727
g2315,0.3176405786,0.0623467635
g2316,0.3523610315,0.0635164137
g2317,-0.68081997,0.0690459427
g2318,-0.5515149553,0.0740261369
g2319,0.6604474647,0.0799909966
g2320,-0.6217036421,0.0885892556
g2321,0.7787680258,0.071040078
g2322,0.3412755033,0.0684972572
g2323,-0.8005186577,0.0822409931
g2324,0.3527525315,0.0785043662
g2325,-0.7031882476,0.0675117951
g2326,-0.5745263422,0.0641094529
g2327,0.9975671957,0.0710694501
g2328,0.4435495332,0.0638210293
g2329,-0.6023860035,0.0952221478
g2330,-0.4528850815,0.0827086767
g2331,-0.8150043435,0.0823819196
g2332,0.6336540458,0.0889494934
g2333,-1.4358008446,0.0805400593
g2334,0.6372785351,0.0724173428
g2335,-0.5859321705,0.0932726889
g2336,-0.6945322043,0.0927452034
g2337,0.4160572143,0.0664445637
g2338,-0.5823015562,0.0807467351
g2339,0.553582128,0.0695539342
g2340,-0.5531175651,0.0907835861
g2341,-0.5620435004,0.0910901727
g2342,-0.6229236119,0.0935859227
g2343,-0.5496946537,0.0838945693
g2344,0.7177104713,0.0927660315
g2345,0.4753529991,0.0651275986
g2346,0.440666717,0.0652288906
g2347,-0.5512240168,0.0961682134
g2348,0.9135132772,0.0642723583
g2349,-0.4361665624,0.0819678624
g2350,0.4159940086,0.0688674822
g2351,-0.3014098493,0.0692013773
g2352,1.0556563984,0.071287096
g2353,-0.3688991145,0.0669852995
g2354,0.3677384861,0.0644062292
g2355,-0.8339186633,0.0919095777
g2356,-0.4677837823,0.0863101354
g2357,1.2759953232,0.0890490632
g2358,-0.4153382991,0.078111915
g2359,-0.5097739541,0.0840032574
g2360,-0.484756356,0.0861938485
g2361,0.8759410123,0.0700484457
g2362,-1.2335380079,0.0861567427
g2363,-0.4688966403,0.0880437716
g2364,-0.6349829855,0.073466375
g2365,-0.7378139788,0.0923051681
g2366,0.3857471988,0.0663252018
g2367,-0.4632338086,0.0690359634
g2368,0.4408036351,0.090872311
g2369,-1.0046057346,0.0870718168
g2370,-0.5731263157,0.0744570935
g2371,0.3280058084,0.071196882
g2372,-0.4614934715,0.0831627167
g2373,-0.6282377763,0.0772728471
g2374,-0.4072873577,0.0675387682
g2375,-0.495714617,0.090985971
g2376,0.4082956753,0.0664609891
g2377,-0.7129740568,0.1006092377
g2378,-0.4644825539,0.0691599163
g2379,-0.3111462764,0.0659462951
g2380,0.8753147504,0.0673523084
g2381,-0.348081732,0.0698167666
g2382,0.4065455695,0.0668362039
g2383,-0.6521370392,0.0869999195
g2384,-0.5312568362,0.0921923254
g2385,0.8180023662,0.0981782594
g2386,0.3670854535,0.0684861311
g2387,-0.6892845689,0.0670686525
g2388,0.6463930303,0.0696058386
g2389,0.4562009432,0.0848248732
g2390,0.3708095715,0.0655743306
g2391,-0.5946561015,0.0960464927
g2392,0.3787544568,0.0660217672
g2393,0.3855828754,0.0665976623
g2394,1.1345424383,0.09041009
g2395,0.3056360529,0.0657514227
g2396,-1.0047602508,0.0878794178
g2397,0.3714227306,0.0673434215
g2398,0.6363310836,0.0715615573
g2399,-0.4737192245,0.0888222255
g2400,-0.5187056045,0.0691691316
g2401,-0.5426594323,0.0924980823
g2402,-0.5253243423,0.0666294186
g2403,0.3687722044,0.0727015967
g2404,0.8080567566,0.0673776617
g2405,-0.3839534097,0.0710610756
g2406,-0.4507645835,0.0764482073
g2407,-0.7323817486,0.0709449358
g2408,0.8094095838,0.1003872129
g2409,0.3442150641,0.0703005544
g2410,-0.3361727936,0.0669303686
g2411,0.5177424734,0.0833990394
g2412,-0.3582002176,0.0745285409
g2413,-0.6603346046,0.0947433834
g2414,-0.5301291988,0.0886953048
g2415,0.5161145046,0.0749500695
g2416,-0.4558592593,0.0959160182
g2417,-0.4475732637,0.086520281
g2418,-0.4345866178,0.0737429147
g2419,0.6039928072,0.0946994481
g2420,-0.5187700737,0.0877161597
g2421,-0.5616379115,0.084500021
g2422,-0.6492010034,0.0965982414
g2423,-0.3884113165,0.0696165545
g2424,1.3527812429,0.0973738937
g2425,0.5357312846,0.0706980287
g2426,1.0301203215,0.1005020535
g2427,0.3924328516,0.068180926
g2428,-0.6539136415,0.0972189556
g2429,0.4027828482,0.0727058256
g2430,-0.5236316065,0.0680179144
g2431,1.3634969099,0.0674373649
g2432,0.6367094249,0.088043963
g2433,-0.9378639325,0.1009326376
g2434,-1.0259821691,0.0851332762
g2435,0.5155560687,0.0738808869
g2436,0.4599348561,0.0777859552
g2437,0.3995322535,0.0672666408
g2438,-1.4431816735,0.0758501909
g2439,0.4164107514,0.0685297301
g2440,-1.5070661206,0.0711668578
g2441,0.7234022272,0.0981934172
g2442,0.4004699947,0.0739460821
g2443,0.3499089944,0.0685545871
g2444,-0.6167293227,0.0747703219
g2445,-0.7649924376,0.0941069306
g2446,0.4164453388,0.0677571415
g2447,-0.6200514355,0.0880561291
g2448,0.4441345629,0.0678106498
g2449,-0.6144326401,0.0796321687
g2450,-0.5256362665,0.0823463908
g2451,0.5458787239,0.0685990982
g2452,0.4026137427,0.0682111384
g2453,-0.6982029783,0.0693346827
g2454,0.5871755301,0.0700919013
g2455,0.544273161,0.067872063
g2456,-0.5152209733,0.0788613144
g2457,-0.3708818675,0.0802693962
g2458,0.5808699065,0.0996796356
g2459,-0.5674891004,0.0972536385
g2460,0.4757083577,0.0688919332
g2461,-0.4437497146,0.0812979661
g2462,0.3819083722,0.0703348478
g2463,-0.5822368657,0.0760520148
g2464,0.3089692547,0.0679122095
g2465,1.0825217964,0.0681984535
g2466,0.5163260584,0.0695660955
g2467,0.5201070381,0.0784265215
g2468,0.4043842548,0.0680187055
g2469,0.3879329645,0.0692611263
g2470,-0.7226986797,0.0783739864
g2471,-0.7424342264,0.0708007478
g2472,0.3353027004,0.0687086532
g2473,0.6865943768,0.0748755852
g2474,0.3587138059,0.0720098665
g2475,-1.0599649145,0.0752583279
g2476,-0.8017110434,0.0798291315
g2477,-0.3232833065,0.0756059685
g2478,-0.4301933829,0.09112018
g2479,-0.5649832279,0.0701855803
g2480,-0.50506216,0.0763639161
g2481,0.4737478068,0.0886071075
g2482,1.3348700844,0.0922450117
g2483,0.561378739,0.0692506708
g2484,1.2788294855,0.0846259493
g2485,-0.4475279577,0.0885743553
g2486,-0.6055782688,0.1027628304
g2487,-1.5995259064,0.0784745952
g2488,-0.5346320964,0.1035681053
g2489,-0.7554904207,0.0777293837
g2490,0.8603438112,0.0809134615
g2491,0.3105136076,0.0692116728
g2492,0.4009915026,0.090041512
g2493,-0.6638703021,0.0846874662
g2494,-0.3953512197,0.0700847586
g2495,-0.3471545029,0.0704349278
g2496,-0.5810247974,0.1051990741
g2497,-0.5786056084,0.0828062131
g2498,-0.5392399187,0.0895357826
g2499,-1.1469908596,0.0900495425
g2500,-1.15962889,0.0739609746
g2501,0.493984224,0.0740199109
g2502,0.359756227,0.0704980308
g2503,0.7653487691,0.0726216264
g2504,-0.4375093954,0.0932466166
g2505,0.52432886,0.073748193
g2506,0.6060687234,0.0732769296
g2507,0.9500024876,0.1101016683
g2508,0.3344273918,0.0701385248
g2509,0.3405235553,0.071511177
g2510,-0.5720991782,0.0711335313
g2511,-0.8686542002,0.0868393588
g2512,-0.7656279711,0.0785152403
g2513,0.5104029413,0.0820770914
g2514,0.3173297363,0.0759015098
g2515,0.696653349,0.1018004333
g2516,-0.686004024,0.0873873578
g2517,0.5164088524,0.0702110259
g2518,-1.3314570773,0.0921853235
g2519,-0.5833977346,0.0981972243
g2520,0.2851235261,0.071598456
g2521,0.3707419762,0.0706353887
g2522,-0.4216752559,0.0795025616
g2523,-0.4315870096,0.0930965739
g2524,-0.3715860161,0.0914227048
g2525,-0.5230179006,0.1095523406
g2526,-0.5782255079,0.0719575862
g2527,0.8017308516,0.07168642
g2528,-0.3684123945,0.0717483778
g2529,-0.4409891564,0.0723761807
g2530,0.6308809208,0.0973487707
g2531,1.6091682881,0.0806375584
g2532,0.3941356669,0.0714493396
g2533,-0.5538800566,0.102651616
g2534,-0.5007643039,0.0945533737
g2535,0.494546879,0.0996887973
g2536,0.4164936076,0.0716468684
g2537,0.6595710549,0.0790390558
g2538,-0.4763977282,0.0970353313
g2539,0.3004428616,0.0736747908
g2540,0.4488563864,0.0728597105
g2541,-0.5122272167,0.0958946767
g2542,0.5310528606,0.07216667
g2543,0.7622024153,0.0775634737
g2544,-0.9708948708,0.0869167812
g2545,0.3854180504,0.0834011677
g2546,-0.7104531093,0.109743709
g2547,-0.747610983,0.0937675625
g2548,-0.623375432,0.0898231398
g2549,-0.7113318774,0.0980940451
g2550,-0.359386785,0.0798452015
g2551,0.4249579076,0.0998669546
g2552,-0.7411264024,0.1103514457
g2553,-0.6034929488,0.0848591661
g2554,1.529521281,0.0823470052
g2555,-0.334010024,0.0727803079
g2556,0.4240635454,0.072728689
g2557,-0.3993796625,0.0763253858
g2558,-0.5992870607,0.1059627206
g2559,-0.5537160705,0.0810394268
g2560,0.4897796118,0.1016488103
g2561,-0.6089490205,0.1022272375
g2562,0.3634909076,0.0785596165
g2563,-0.3135424584,0.0730891265
g2564,-0.5246076547,0.0794095086
g2565,-0.5890106581,0.0918933358
g2566,-0.5338576549,0.08546102
g2567,-0.7066797644,0.0947975355
g2568,0.6933315314,0.0740047739
g2569,0.8843126112,0.115526352
g2570,0.6182468848,0.0862375628
g2571,-0.739756515,0.1013263103
g2572,-0.5369685292,0.0860225893
g2573,-0.406021739,0.0762572689
g2574,-0.8634682589,0.0940168698
g2575,-0.5911166379,0.0742653708
g2576,0.3453096228,0.0847953483
g2577,1.0999778697,0.0742477167
g2578,-0.5300653327,0.110366437
g2579,-0.3959566247,0.0826755202
g2580,-0.4669544117,0.0753738915
g2581,-0.4489042102,0.0751305258
g2582,-0.4589750701,0.0742392778
g2583,0.6661396721,0.0938260007
g2584,-0.4848144153,0.1036432109
g2585,0.3698599826,0.0911739838
g2586,-0.4396069797,0.0869088772
g2587,0.3877226474,0.0742949156
g2588,-0.3224890427,0.0813692944
g2589,0.3109440459,0.0735466822
g2590,-0.5247881257,0.0894648103
g2591,-0.4280736168,0.1036631349
g2592,1.4696002861,0.0748018554
g2593,-2.1324806183,0.0813706611
g2594,0.4642781365,0.0735517719
g2595,0.4824665674,0.0832589205
g2596,-0.6048047508,0.0861802891
g2597,-0.4638837082,0.1079371508
g2598,1.3128023724,0.0780742573
g2599,-0.369685897,0.0754400011
g2600,0.6089901448,0.0821270183
g2601,-0.6103295394,0.0973945591
g2602,-0.9545628738,0.0959929873
g2603,-1.0143960252,0.1074575704
g2604,0.561738595,0.1117943275
g2605,-0.404193915,0.0930556588
g2606,0.5683487316,0.0799237238
g2607,-0.5181486198,0.0843024172
g2608,-0.528292698,0.0755836585
g2609,0.6039971605,0.0739897371
g2610,-0.7317207537,0.1107517317
g2611,0.8197813631,0.091080896
g2612,0.728994661,0.0750540263
g2613,0.3265603008,0.0747976903
g2614,0.707365223,0.0747713758
g2615,0.6370368194,0.110371331
g2616,0.3536077324,0.0799955713
g2617,-0.5880160477,0.1148772111
g2618,0.7422974463,0.1170656677
g2619,-0.7829952804,0.1056490228
g2620,0.7318561567,0.1119061893
g2621,-0.5070864847,0.1018664442
g2622,-0.6846376089,0.107878206
g2623,-0.6256180558,0.106112892
g2624,-0.4554434892,0.0881602026
g2625,0.3658439136,0.0785778558
g2626,-0.3889579175,0.1084266689
g2627,0.5397650843,0.0761024391
g2628,0.6110812148,0.1053752177
g2629,0.9355552588,0.0807260719
g2630,-0.4661863568,0.0896826058
g2631,-0.7654664332,0.1176966136
g2632,0.4618032233,0.0762018146
g2633,0.4684497953,0.0929628498
g2634,-0.4806230185,0.1118031724
g2635,0.3189098727,0.075174595
g2636,-0.5745739042,0.1186036997
g2637,-0.3616291102,0.0760305102
g2638,0.3417245697,0.0806793325
g2639,0.5076895821,0.0830976002
g2640,-0.7105747895,0.1144002827
g2641,-0.9055673902,0.0780000763
g2642,-0.4065165248,0.0824272401
g2643,-0.4278176029,0.0906018352
g2644,-0.4248334219,0.0872343706
g2645,-0.7115656034,0.119806596
g2646,-0.5556290172,0.0791613808
g2647,0.3716915019,0.0795978414
g2648,0.3034158547,0.0826155324
g2649,-0.4405097679,0.0925931566
g2650,0.3200125688,0.0763768731
g2651,0.4586336951,0.0794751017
g2652,-0.6733390525,0.1138959278
g2653,-0.9964488016,0.1068920724
g2654,0.6380968719,0.1001437814
g2655,-0.9035360418,0.0912408247
g2656,-0.4207013624,0.0987976352
g2657,-1.2986343099,0.0954089195
g2658,-0.8345970534,0.1096576974
g2659,0.3907297481,0.0802753865
g2660,0.6158083808,0.120561428
g2661,0.3382942085,0.0841638793
g2662,0.3182457028,0.0781667251
g2663,0.3709274028,0.0813579438
g2664,0.3934233413,0.0765027011
g2665,-0.5352327376,0.0771059282
g2666,-0.6876862804,0.0778505716
g2667,-0.4341897405,0.0907350419
g2668,-0.8618674486,0.1049669904
g2669,-0.5313850548,0.1086336287
g2670,0.5115530679,0.0810359879
g2671,1.084765135,0.1082691577
g2672,-0.3447351392,0.0858594168
g2673,0.7462858319,0.0813653307
g2674,0.6360431167,0.0773093284
g2675,0.6596691948,0.1256562269
g2676,-0.3237364539,0.0875431292
g2677,0.8803836137,0.1190919007
g2678,0.3191124937,0.0792447417
g2679,0.3149505387,0.0809030632
g2680,-0.6082718931,0.1164971791
g2681,0.4485328537,0.0807533574
g2682,1.018691245,0.0797365373
g2683,0.4410611237,0.1123503871
g2684,-0.3485934204,0.0779238533
g2685,1.5219624163,0.0820523202
g2686,-0.3374628491,0.0900507187
g2687,0.3625156325,0.0812526006
g2688,-0.501836725,0.0812828692
g2689,-0.7828972005,0.0968503658
g2690,-0.5328504364,0.0783313991
g2691,0.8533440322,0.1075697979
g2692,1.0069404665,0.1225746975
g2693,-0.3884434401,0.0884840465
g2694,0.4255167926,0.0783061122
g2695,0.7681411829,0.0823996034
g2696,0.4248144747,0.0817004131
g2697,0.7075316922,0.0785643257
g2698,0.3127649645,0.0793336446
g2699,-0.9091982418,0.0797732163
g2700,0.365775491,0.082938649
g2701,-0.5514216975,0.0839680754
g2702,-0.2965165456,0.07873069
g2703,0.3058080501,0.0795769623
g2704,0.8550494876,0.0854999238
g2705,-0.5953330818,0.104114871
g2706,-0.5715138807,0.1243380746
g2707,-0.6905179604,0.1115911164
g2708,-0.7516035882,0.1164268419
g2709,-0.5024709697,0.0792941538
g2710,-0.4920915978,0.1226641802
g2711,0.8150289213,0.0972600568
g2712,-0.3357746117,0.0900222221
g2713,0.4417860015,0.0900151702
g2714,0.4827634732,0.0840530184
g2715,-0.7058822005,0.0934984921
g2716,-0.5061664382,0.1042272667
g2717,0.532262519,0.0960891379
g2718,-0.7098499464,0.1000627713
g2719,2.309891282,0.1209294911
g2720,2.9683187678,0.0973553669
g2721,0.4028253611,0.0797060068
g2722,0.3684796383,0.0801747403
g2723,0.5646296067,0.1001994914
g2724,0.4875775368,0.1090902043
g2725,0.6932705132,0.0802636705
g2726,-0.4980660625,0.1016857315
g2727,-0.7758931196,0.1203384217
g2728,0.6901111685,0.0828641414
g2729,-0.5896323612,0.0854096704
g2730,-0.5622304302,0.1164140528
g2731,-0.7087089773,0.1116427639
g2732,0.3558996525,0.0843245461
g2733,-0.7811932981,0.1012060731
g2734,-1.5927416042,0.0833083582
g2735,0.4593317309,0.0828591138
g2736,0.3268457623,0.0828675506
g2737,1.1090055897,0.0918953097
g2738,-0.2661809759,0.0861051643
g2739,-0.4704463308,0.0888501945
g2740,-0.3354404572,0.0845833062
g2741,-0.5772651137,0.0920503024
g2742,0.5420999983,0.1055819071
g2743,0.2757071178,0.0831978294
g2744,-0.5581845352,0.1154626452
g2745,-0.5378416419,0.0970073308
g2746,0.611034887,0.0886799833
g2747,0.4743397824,0.1045948659
g2748,0.6791243647,0.1125633992
g2749,0.9527451084,0.1156262254
g2750,0.4996616987,0.0928384421
g2751,0.2890374931,0.0811502869
g2752,-0.2783990801,0.0817753017
g2753,-0.3608474997,0.0954040688
g2754,0.4584140686,0.0859948591
g2755,-0.7368778036,0.0859868709
g2756,-0.3929065228,0.105388313
g2757,-0.4661865385,0.1215638626
g2758,-0.7683986174,0.0824357454
g2759,-0.3753676823,0.0889454904
g2760,0.6680701003,0.0865741573
g2761,1.0913239309,0.0837260539
g2762,0.4383319448,0.0820651386
g2763,-1.9143472861,0.0864954334
g2764,-0.506008483,0.1138448543
g2765,-0.572488805,0.0881838405
g2766,-0.3855394757,0.1161673383
g2767,-0.3666666582,0.0849141038
g2768,0.6248598207,0.0829240967
g2769,0.4469667207,0.0962947527
g2770,-0.2980508512,0.0845565227
g2771,-0.6881903673,0.0945445758
g2772,0.3810964333,0.0880824354
g2773,-1.1986792874,0.1037978335
g2774,0.4570697929,0.0816459662
g2775,-0.3820659654,0.0843884444
g2776,-0.5857656803,0.1059119822
g2777,0.3555855809,0.0855385336
g2778,-0.7954603385,0.086490884
g2779,0.6686274474,0.093983688
g2780,-0.302906104,0.0828596117
g2781,0.5177716267,0.0827654801
g2782,-0.4664313632,0.0994942154
g2783,0.5187858269,0.0958916422
g2784,1.4857501462,0.0891963735
g2785,0.5714836465,0.1328213709
g2786,0.6428098747,0.0882417163
g2787,-0.4526733954,0.1165418067
g2788,0.7511548152,0.1176086395
g2789,-0.514691489,0.0852580274
g2790,0.9743663223,0.0971085143
g2791,-0.400202469,0.111881208
g2792,-0.6186125904,0.1250634375
g2793,0.9050480982,0.0824300944
g2794,0.2654281923,0.0824260027
g2795,-0.6932355489,0.1255463953
g2796,-0.5039487097,0.094690005
g2797,0.5819125452,0.1220176449
g2798,-1.1795647797,0.0877605167
g2799,-0.5866085132,0.0995217425
g2800,-0.4498520265,0.0950425015
g2801,-0.6242841386,0.0843383373
g2802,0.5258376267,0.0887756128
g2803,0.6309789764,0.0856866488
g2804,0.358856637,0.0831037212
g2805,-0.4548513157,0.0835871709
g2806,-0.7144344537,0.0923837522
g2807,-0.4831543061,0.1169269293
g2808,0.5086863515,0.087753963
g2809,-0.5297838816,0.1108585137
g2810,-0.317640751,0.0969788096
g2811,0.9484905215,0.0834537988
g2812,0.4386052426,0.0833513776
g2813,0.3349106809,0.0950152112
g2814,-0.564357366,0.1224315858
g2815,0.7078452886,0.0869948888
g2816,0.3972108729,0.0949339226
g2817,0.800177099,0.0842707059
g2818,-0.3923933777,0.088963108
g2819,0.2665789932,0.0834595612
g2820,-0.4829279915,0.1143527812
g2821,0.7154593927,0.0857717524
g2822,0.562635229,0.1126467221
g2823,0.2686502251,0.0834250446
g2824,-1.0040971669,0.0929640321
g2825,0.8492832704,0.0878965638
g2826,1.3215585316,0.0896611198
g2827,0.4423240384,0.0852337997
g2828,0.435543232,0.0956099741
g2829,-0.5953201756,0.1000757074
g2830,-0.6933564352,0.0981355502
g2831,0.7883245906,0.1205984805
g2832,0.3535050595,0.0942504844
g2833,-0.6385981113,0.1351171774
g2834,0.5793940709,0.1286015561
g2835,0.5551899454,0.1272681569
g2836,-0.8848925737,0.1233638097
g2837,-0.7732433639,0.0865401198
g2838,-0.9381694327,0.0885765475
g2839,0.449205372,0.0849761942
g2840,-0.687261264,0.1268601499
g2841,0.4658892886,0.0944080914
g2842,0.7458489554,0.1074370023
g2843,-0.6463445765,0.085690041
g2844,0.5224432868,0.0842953685
g2845,-0.2728810467,0.0922246168
g2846,-0.4369584579,0.0877754215
g2847,0.6866560878,0.1321277363
g2848,-0.5246239206,0.1150383886
g2849,-0.7255871389,0.1115586254
g2850,0.4378208843,0.0847056681
g2851,-0.5428909537,0.1068360655
g2852,-0.5780243392,0.1021550504
g2853,0.694907339,0.1349322346
g2854,0.4257240055,0.100466937
g2855,-0.5843177383,0.1079240865
g2856,-0.5161354585,0.1105173706
g2857,0.3764258932,0.0869941313
g2858,-0.2684824438,0.0857688884
g2859,-0.5810057752,0.1079138782
g2860,0.4767581094,0.0850916403
g2861,0.584156657,0.1252319354
g2862,-0.6513496157,0.1359381346
g2863,0.5217935905,0.0946486534
g2864,0.7610808464,0.0852819063
g2865,0.3977508916,0.1025459595
g2866,0.4502144107,0.1010834251
g2867,-0.4021226785,0.0925927356
g2868,-0.3203127763,0.0921128373
g2869,-0.8903996869,0.1215626249
g2870,0.3783306017,0.0865481086
g2871,-0.3440596309,0.1014292121
g2872,0.7034692496,0.0885930772
g2873,0.5387575113,0.1191200116
g2874,0.2879944321,0.0860658302
g2875,-0.5135717126,0.1218665271
g2876,0.8714786277,0.1227050116
g2877,-0.5240923576,0.1370019897
g2878,-0.4938498852,0.1279130682
g2879,0.5173498796,0.0954612859
g2880,-0.4745819135,0.1317646792
g2881,-0.6971246211,0.1341149716
g2882,-0.8942340806,0.1050102516
g2883,-0.3817485775,0.1092007233
g2884,-0.7279880427,0.099072559
g2885,-0.4246807525,0.0919594245
g2886,-0.4633676559,0.1078476643
g2887,0.5424226518,0.0966916743
g2888,-0.5438876141,0.1241744743
g2889,-0.3893996265,0.1034639555
g2890,-0.5666739891,0.0954145963
g2891,0.4034761561,0.0928212413
g2892,0.3148152699,0.0997410772
g2893,-0.3530425956,0.0872245125
g2894,0.9634997926,0.0934209994
g2895,0.6422789995,0.0961721436
g2896,1.4555882268,0.1116968762
g2897,-0.5736895502,0.1059364465
g2898,1.0442091364,0.1161614084
g2899,-0.5771787774,0.1228301263
g2900,-0.3454534328,0.0971309101
g2901,0.3992699228,0.0953978445
g2902,-0.7637939812,0.1283304157
g2903,0.7152336896,0.0895880492
g2904,-0.9202994698,0.1330399571
g2905,-0.284314664,0.0889842198
g2906,-0.5814174774,0.0970550687
g2907,0.4599745393,0.0873308345
g2908,1.8600651689,0.13099142
g2909,-0.7044538,0.1246134301
g2910,-0.6066858463,0.1377638004
g2911,0.3170615677,0.0930587478
g2912,0.4513857452,0.1041660982
g2913,-0.4208660744,0.0981221266
g2914,0.2822357718,0.0881133739
g2915,-0.4443381654,0.1055760478
g2916,-0.5237698641,0.1265949683
g2917,-0.5522810649,0.1181899274
g2918,-0.8037755627,0.1369791904
g2919,1.3816911939,0.1132555106
g2920,-0.4147315491,0.0938397224
g2921,0.792129535,0.1427283446
g2922,0.3353549252,0.0905087798
g2923,-0.5098116035,0.1249710649
g2924,-0.4552523338,0.1007785048
g2925,0.5322317318,0.1207866748
g2926,-0.3480452773,0.1023816693
g2927,-0.4757107314,0.1133853463
g2928,0.4370896386,0.0934938935
g2929,-0.8625312457,0.1281232209
g2930,-0.3862476458,0.0933366604
g2931,-0.5472629499,0.1114815907
g2932,-0.6454277636,0.134370073
g2933,-0.6409687502,0.1261862508
g2934,0.3089361702,0.0903003316
g2935,-0.5649794351,0.1439510135
g2936,0.4212867092,0.0889078612
g2937,0.7044952387,0.1002567952
g2938,0.578780733,0.0892534423
g2939,0.290173784,0.1007925772
g2940,-1.5812393626,0.1355568936
g2941,-0.4935094594,0.1286412066
g2942,-0.6981700739,0.0915151854
g2943,0.3587364303,0.1001749791
g2944,-1.3287397224,0.097182674
g2945,-0.5913327692,0.0956364501
g2946,-0.5172733987,0.0923002264
g2947,1.7249998856,0.1254461008
g2948,0.4531999046,0.1001839588
g2949,0.9546030016,0.1444097141
g2950,0.3928698232,0.1227920266
g2951,0.8437486993,0.0909851456
g2952,0.4870076155,0.1293490924
