,SRR6450951,SRR6450978,SRR6450960,SRR6450957,SRR6450980,SRR6450948,SRR6450953,SRR6450959,SRR6450975,SRR6450977,SRR6450981,SRR6450955,SRR6450958,SRR6450972,SRR6450947,SRR6450971,SRR6450973,SRR6450954,SRR6450961,SRR6450952,SRR6450950,SRR6450949,SRR6450956,SRR6450976,SRR6450979,SRR6450974
g__Megamonas,3374.165628,229279.7106,82.18615163,50091.65257,126.2945188,39.42751252,254289.7828,4539.324364,266081.9747,84745.10564,0,112.5914806,0,215.424386,207442.0215,6101.447956,4202.994199,0,224.3409983,40.50714951,53143.27232,136.5498407,6606.003692,452.2682995,214494.0688,151.3088213
g__Megasphaera,183.3785667,106.3942973,0,35.25098703,347.3099267,39.42751252,961.1961552,263.1492385,23340.5241,7830.974995,0,37.53049353,63.30315883,53.85609651,311.5264798,73035.24269,173.6774462,0,0,40.50714951,157769.0897,182.0664543,95139.40611,104.3696076,35262.85085,403.4901901
g__Mogibacterium,0,0,0,35.25098703,0,0,0,0,0,77.53440589,0,75.06098705,253.2126353,0,0,30.35546247,0,0,0,0,0,0,0,0,0,0
g__Morganella,11332.79542,0,41.09307582,2115.059222,63.14725941,78.85502504,0,32.89365481,0,38.76720295,863.2472484,112.5914806,63.30315883,0,6957.424714,27410.98261,34.73548925,0,0,0,0,630905.7806,22861.95395,67109.65767,32.4107085,50.43627377
g__Neisseria,36.67571334,0,0,0,0,0,0,0,0,0,0,0,63.30315883,0,0,0,0,0,56.08524958,0,34.59848459,0,0,0,32.4107085,0
g__Nitrosotalea,73.35142669,0,0,0,0,39.42751252,0,0,70.72886091,38.76720295,0,0,0,0,34.61405331,91.0663874,34.73548925,39.42284948,0,0,0,45.51661356,0,0,32.4107085,0
g__Odoribacter,7995.305509,1808.703054,780.7684405,7719.966159,94.72088911,3824.468714,2100.391598,0,106.0932914,465.2064354,4603.985325,0,0,2800.517019,0,30.35546247,0,0,0,1215.214485,69.19696917,0,32.38237104,243.5290843,32.4107085,252.1813688
g__Oribacterium,36.67571334,0,0,141.0039481,0,0,35.5998576,0,0,77.53440589,0,0,189.9094765,0,0,0,0,0,0,0,0,0,0,0,32.4107085,100.8725475
g__Oscillospira,38216.0933,49686.13682,17259.09184,1128.031585,23048.74968,25036.47045,5268.778925,4013.025887,6224.13976,310.1376236,7589.382059,37.53049353,2089.004241,26766.47997,0,1699.905898,3751.432839,23929.66964,95513.18003,3200.064811,553.5757534,0,2525.824941,2122.182021,3467.945809,42971.70525
g__Parabacteroides,74451.69809,44579.21055,29915.75919,33981.95149,15250.06315,48298.70283,27376.29049,31742.3769,28256.17993,109866.2531,23415.58161,2214.299118,320883.7121,35598.87979,110141.9176,102449.6858,27475.772,8791.295435,56.08524958,42816.05703,36120.81791,318.6162949,98442.40795,17568.88394,72049.00499,9935.945932
g__Paraprevotella,0,22449.19672,4438.052188,0,0,0,10751.157,0,0,348.9048265,0,0,63.30315883,2369.668246,0,0,0,0,56.08524958,2916.514765,0,0,194.2942262,0,0,100.8725475
g__Parvimonas,0,0,41.09307582,11703.32769,0,0,35.5998576,0,0,0,539.5295302,0,0,0,0,0,0,0,0,0,0,0,0,0,32.4107085,0
g__Peptostreptococcus,110.02714,0,0,5745.910886,0,197.1375626,35.5998576,0,0,0,0,0,0,53.85609651,0,60.71092493,0,0,0,0,0,0,0,0,0,0
g__Phascolarctobacterium,220.0542801,11490.5841,88966.50914,10575.29611,157.8681485,96321.41308,21965.11214,4013.025887,35.36443046,42139.9496,98266.31178,0,0,4954.760879,0,10199.43539,5835.562194,236.5370969,0,32932.31255,82655.77968,227.5830678,11495.74172,15585.8614,13547.67615,113229.4346
g__Plesiomonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29934.78349,0,0,32.38237104,0,0,201.7450951
g__Prevotella,366.7571334,132886.4773,149291.1444,246.7569092,568.3253347,433.7026377,676.3972944,101049.3076,212.1865827,271.3704206,359.6863535,450.3659223,316.5157941,323.1365791,153409.4843,182.1327748,98718.26045,78.84569897,729.1082445,202.5357476,340172.3005,1365.498407,161.9118552,52323.96326,41485.70688,151.3088213
g__Proteus,0,0,0,35.25098703,63.14725941,0,0,0,0,0,0,1613.811222,0,0,0,7163.889142,0,0,0,1822.821728,0,0,4857.355656,0,0,3278.357795
g__Pseudomonas,36.67571334,0,0,0,0,0,0,0,0,0,0,0,126.6063177,269.2804826,0,0,0,0,0,40.50714951,0,45.51661356,0,0,0,0
g__Pseudoramibacter_Eubacterium,0,0,0,35.25098703,63.14725941,0,0,0,0,0,107.905906,0,63.30315883,53.85609651,0,0,0,0,0,0,0,0,0,0,0,0
g__Roseburia,27946.89357,15639.9617,6944.729813,0,0,4258.171352,0,65.78730963,24153.906,0,0,0,0,15995.26066,69.22810661,424.9764745,104.2064677,275.9599464,122714.5261,81.01429902,0,0,453.3531945,104.3696076,32.4107085,50.43627377
g__Ruminococcus,15990.61102,25534.63134,100143.8258,14840.66554,12218.9947,5914.126878,1139.195443,121278.9053,18141.95282,50978.87187,11545.93195,220266.4665,202949.9272,303155.9673,242.2983731,16361.59427,97224.63441,17819.12797,1906.898486,6967.229716,311.3863613,955.8488848,24740.13147,114702.1987,5639.463279,12609.06844
g__Sarcina,73.35142669,0,0,176.2549351,0,0,0,32.89365481,0,0,0,0,0,0,0,0,34.73548925,0,560.8524958,0,0,0,0,0,0,0
